case_id,customer_id,category,request_text,expected_terminal_state,actual_terminal_state,expected_path,actual_path,transition_accuracy,path_match,terminal_match,prompt_baseline_terminal_state,prompt_baseline_path,prompt_baseline_transition_accuracy,prompt_baseline_path_match,prompt_baseline_terminal_match,prompt_baseline_tokens,reasoning_scores,mean_reasoning_score,total_tokens,baseline_tokens,mean_tokens_per_step,mean_baseline_tokens_per_step
TC-01,ACCT-001,account,Can you tell me my current account balance and whether my last payment cleared?,REQUEST_COMPLETE,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_ACCOUNT_QUERY"", ""REQUEST_COMPLETE""]","[""CLASSIFY_REQUEST"", ""HANDLE_ACCOUNT_QUERY"", ""REQUEST_COMPLETE""]",1.0,True,True,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_ACCOUNT_QUERY"", ""REQUEST_COMPLETE""]",1.0,True,True,286,"[5, 5]",5.0,297,700,148.5,350.0
TC-02,ACCT-002,account,I need the billing address and primary contact currently listed on my account.,REQUEST_COMPLETE,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_ACCOUNT_QUERY"", ""REQUEST_COMPLETE""]","[""CLASSIFY_REQUEST"", ""HANDLE_ACCOUNT_QUERY"", ""REQUEST_COMPLETE""]",1.0,True,True,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_ACCOUNT_QUERY"", ""REQUEST_COMPLETE""]",1.0,True,True,284,"[5, 5]",5.0,297,697,148.5,348.5
TC-03,ACCT-003,account,Why is my account showing an overdue amount when I paid yesterday? This is frustrating.,REQUEST_COMPLETE,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_ACCOUNT_QUERY"", ""HANDLE_COMPLAINT"", ""REQUEST_COMPLETE""]","[""CLASSIFY_REQUEST"", ""HANDLE_COMPLAINT"", ""REQUEST_COMPLETE""]",0.0,False,True,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_COMPLAINT"", ""REQUEST_COMPLETE""]",0.0,False,True,288,"[3, 5]",4.0,258,679,129.0,339.5
TC-04,ACCT-004,account,Please explain the account balance on my latest statement; the total seems too high.,REQUEST_COMPLETE,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_ACCOUNT_QUERY"", ""REQUEST_COMPLETE""]","[""CLASSIFY_REQUEST"", ""HANDLE_ACCOUNT_QUERY"", ""REQUEST_COMPLETE""]",1.0,True,True,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_ACCOUNT_QUERY"", ""REQUEST_COMPLETE""]",1.0,True,True,286,"[5, 5]",5.0,297,700,148.5,350.0
TC-05,ACCT-005,account,I cannot see my account data in the portal and need someone to check it manually.,REQUEST_ESCALATED,REQUEST_ESCALATED,"[""CLASSIFY_REQUEST"", ""HANDLE_ACCOUNT_QUERY"", ""REQUEST_ESCALATED""]","[""CLASSIFY_REQUEST"", ""HANDLE_ACCOUNT_QUERY"", ""REQUEST_ESCALATED""]",1.0,True,True,REQUEST_ESCALATED,"[""CLASSIFY_REQUEST"", ""HANDLE_ACCOUNT_QUERY"", ""REQUEST_ESCALATED""]",1.0,True,True,288,"[5, 5]",5.0,297,705,148.5,352.5
TC-06,ACCT-006,account,The balance you showed last time was wrong and I am unhappy with that answer.,REQUEST_COMPLETE,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_ACCOUNT_QUERY"", ""HANDLE_COMPLAINT"", ""REQUEST_COMPLETE""]","[""CLASSIFY_REQUEST"", ""HANDLE_COMPLAINT"", ""REQUEST_COMPLETE""]",0.0,False,True,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_COMPLAINT"", ""REQUEST_COMPLETE""]",0.0,False,True,288,"[3, 5]",4.0,258,679,129.0,339.5
TC-07,ACCT-007,account,Can you confirm whether my direct debit is active for this customer account?,REQUEST_COMPLETE,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_ACCOUNT_QUERY"", ""REQUEST_COMPLETE""]","[""CLASSIFY_REQUEST"", ""HANDLE_ACCOUNT_QUERY"", ""REQUEST_COMPLETE""]",1.0,True,True,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_ACCOUNT_QUERY"", ""REQUEST_COMPLETE""]",1.0,True,True,284,"[5, 5]",5.0,297,697,148.5,348.5
TC-08,ACCT-008,account,"I need account ownership details, but the data is missing from your system.",REQUEST_ESCALATED,REQUEST_ESCALATED,"[""CLASSIFY_REQUEST"", ""HANDLE_ACCOUNT_QUERY"", ""REQUEST_ESCALATED""]","[""CLASSIFY_REQUEST"", ""HANDLE_ACCOUNT_QUERY"", ""REQUEST_ESCALATED""]",1.0,True,True,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_ACCOUNT_QUERY"", ""REQUEST_COMPLETE""]",0.5,False,False,284,"[5, 5]",5.0,297,697,148.5,348.5
TC-09,SVC-001,service,Please upgrade our fibre internet service to the next speed tier from next month.,REQUEST_COMPLETE,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_COMPLETE""]","[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_COMPLETE""]",1.0,True,True,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_COMPLETE""]",1.0,True,True,286,"[5, 5]",5.0,283,697,141.5,348.5
TC-10,SVC-002,service,Can you add a static IP address to our existing business broadband service?,REQUEST_COMPLETE,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_COMPLETE""]","[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_COMPLETE""]",1.0,True,True,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_COMPLETE""]",1.0,True,True,284,"[5, 5]",5.0,283,694,141.5,347.0
TC-11,SVC-003,service,We want to downgrade our backup connection to reduce monthly costs.,REQUEST_COMPLETE,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_COMPLETE""]","[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_COMPLETE""]",1.0,True,True,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_COMPLETE""]",1.0,True,True,282,"[5, 5]",5.0,283,688,141.5,344.0
TC-12,SVC-004,service,Move our service to a new office address next week; it may need approval.,REQUEST_ESCALATED,REQUEST_ESCALATED,"[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_ESCALATED""]","[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_ESCALATED""]",1.0,True,True,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_COMPLETE""]",0.5,False,False,286,"[5, 5]",5.0,277,691,138.5,345.5
TC-13,SVC-005,service,Increase the SIP trunk from 20 to 50 channels as soon as possible.,REQUEST_COMPLETE,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_COMPLETE""]","[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_COMPLETE""]",1.0,True,True,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_COMPLETE""]",1.0,True,True,284,"[5, 5]",5.0,283,694,141.5,347.0
TC-14,SVC-006,service,Cancel one circuit and replace it with a custom private link design.,REQUEST_ESCALATED,REQUEST_ESCALATED,"[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_ESCALATED""]","[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_ESCALATED""]",1.0,True,True,REQUEST_ESCALATED,"[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_ESCALATED""]",1.0,True,True,283,"[5, 5]",5.0,277,685,138.5,342.5
TC-15,SVC-007,service,Please change the service plan from standard support to premium support.,REQUEST_COMPLETE,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_COMPLETE""]","[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_COMPLETE""]",1.0,True,True,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_COMPLETE""]",1.0,True,True,282,"[5, 5]",5.0,283,688,141.5,344.0
TC-16,SVC-008,service,I need an emergency bandwidth upgrade that exceeds the contracted limit.,REQUEST_ESCALATED,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_ESCALATED""]","[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_COMPLETE""]",0.5,False,False,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_SERVICE_CHANGE"", ""REQUEST_COMPLETE""]",0.5,False,False,282,"[5, 5]",5.0,283,688,141.5,344.0
TC-17,COMP-001,complaint,I am unhappy that our internet has dropped three times this week and want this fixed.,REQUEST_COMPLETE,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_COMPLAINT"", ""REQUEST_COMPLETE""]","[""CLASSIFY_REQUEST"", ""HANDLE_COMPLAINT"", ""REQUEST_COMPLETE""]",1.0,True,True,REQUEST_COMPLETE,"[""CLASSIFY_REQUEST"", ""HANDLE_COMPLAINT"", ""REQUEST_COMPLETE""]",1.0,True,True,288,"[5, 5]",5.0,274,695,137.0,347.5
